,left_side,right_side,similairity
1,10:10 computer services,custom computer services,0.6203301086874012
4,2power,n2power,0.7989328403151909
6,3alogics,calogic,0.6576196663222756
7,3alogics,dialogic,0.5772687997949766
8,3alogics,datalogic,0.5337973074752729
11,3d systems,4d systems,0.6903130455170289
12,3d systems,gan systems,0.5368780153083104
13,3d systems,able systems,0.5351591703215133
14,3d systems,sine systems,0.5275725717249181
15,3d systems,iar systems,0.5255076519516186
17,3e security,lt security,0.7088293692002221
18,3e security,rsa security,0.6590897552590268
19,3e security,atw security,0.6302112221549322
20,3e security,panda security,0.62046324784667
21,3e security,kasp security,0.6004128058260001
22,3e security,defender security,0.533992091477491
24,3m touch systems,elo touch systems,0.7494965234795857
25,3m touch systems,"irtouch systems co., ltd.",0.6157838904895471
26,3m touch systems,am touch,0.6045470638744754
28,3peak,peak,0.7677828982941708
31,3y power technology,empower technologies,0.5958340787914975
32,3y power technology,newer technology,0.5791940101056263
33,3y power technology,aker technology,0.5595669389604292
34,3y power technology,netpower technologies,0.5297005585993014
36,4d systems,3d systems,0.6903130455170289
37,4d systems,gan systems,0.5368780153083104
38,4d systems,able systems,0.5351591703215133
39,4d systems,sine systems,0.527572571724918
40,4d systems,iar systems,0.5255076519516185
42,a2e technologies,mc technologies,0.547910242875627
43,a2e technologies,integre technologies,0.5384054994793721
44,a2e technologies,bi technologies,0.534381407804697
45,a2e technologies,lm technologies,0.5297650269310977
46,a2e technologies,kg technologies,0.5099255314922925
47,a2e technologies,api technologies,0.5039748764582501
48,a2e technologies,via technologies,0.5001194117173525
51,aaeon technology,lite-on technology,0.6267995429209107
52,aaeon technology,micron technology,0.5880543803206788
53,aaeon technology,aaeon up,0.5610320701864765
54,aaeon technology,aten technology,0.5183377100504387
56,aaeon up,aaeon technology,0.5610320701864765
64,abb semiconductors ag,on semiconductor,0.5726503589408813
65,abb semiconductors ag,semicoa semiconductors,0.5408860322853689
66,abb semiconductors ag,ami semiconductor / on semiconductor,0.5353687429752715
67,abb semiconductors ag,sanyo semiconductor / on semiconductor,0.5200808060254741
68,abb semiconductors ag,ween semiconductors,0.5132030952576544
69,abb semiconductors ag,nxp semiconductors,0.512570030717376
70,abb semiconductors ag,qp semiconductor,0.5062097151597615
71,abb semiconductors ag,rabbit semiconductor,0.5031044760597935
73,ab connectors,ab connectors / tt electronics,0.6762050145105915
74,ab connectors,mh connectors,0.5544085276460075
75,ab connectors,pancon connectors,0.5326140490380481
76,ab connectors,rean connectors,0.5251506982474174
77,ab connectors,elcon connectors / te connectivity,0.5167171676995155
78,ab connectors,starconn connectors,0.512021256958558
79,ab connectors,amp connectors / te connectivity,0.5100746881525686
80,ab connectors,te connectivity amp connectors,0.5056604203797637
82,ab connectors / tt electronics,ab connectors,0.6762050145105915
83,ab connectors / tt electronics,tt electronics,0.5941237517167711
84,ab connectors / tt electronics,semelab / tt electronics,0.5741226039614933
85,ab connectors / tt electronics,irc / tt electronics,0.5632036051330925
86,ab connectors / tt electronics,optek / tt electronics,0.5214665339023081
87,ab connectors / tt electronics,bi technologies / tt electronics,0.5120909485040236
90,abeco,miller (abeco),0.533675206071164
92,ab elektronik,sentec elektronik,0.6493440258170664
93,ab elektronik,roth elektronik,0.6209615116291504
94,ab elektronik,wurth elektronik,0.5800898885016933
95,ab elektronik,fischer elektronik,0.5737739376630133
96,ab elektronik,dresden elektronik,0.5351574040561055
97,ab elektronik,mikroelektronika,0.5195071719757782
98,ab elektronik,ab mikroelektronik gmbh,0.5022070484779345
100,abi,lab-id,0.6345232989460324
102,able systems,afc cable systems,0.7247274525661129
103,able systems,perle systems,0.6948726952762854
104,able systems,coleman cable systems,0.6772129509027076
105,able systems,corning cable systems,0.6760865979364896
106,able systems,sine systems,0.6277392298921737
107,able systems,4d systems,0.5351591703215133
108,able systems,3d systems,0.5351591703215133
109,able systems,powerlite systems,0.5237102224272059
110,able systems,gan systems,0.5233854878257731
111,able systems,iar systems,0.5123008782822424
112,able systems,biw cable sys,0.5063091716091357
113,able systems,triune systems,0.5043990020632559
116,ablic,ablic u.s.a. inc.,0.5325801774324819
118,ablic u.s.a. inc.,"lem usa, inc.",0.5386725451434715
119,ablic u.s.a. inc.,ablic,0.5325801774324819
121,ab mikroelektronik gmbh,mikroelektronika,0.6985942405870267
122,ab mikroelektronik gmbh,ab elektronik,0.5022070484779345
124,abracon,abracon llc.,0.7767276835533767
125,abracon,traco,0.5599511327593927
127,abracon llc.,abracon,0.7767276835533767
133,ac electronics,gc electronics,0.7390724118051789
134,ac electronics,vitelec electronics,0.7134657775344507
135,ac electronics,kentec electronics,0.6690372521995168
136,ac electronics,hosonic electronic,0.6098472533502819
137,ac electronics,nte electronics,0.6044142028189055
138,ac electronics,tt electronics,0.6022715864663932
139,ac electronics,serpac electronic enclosures,0.571970365973333
140,ac electronics,mg electronics,0.5480144183905349
141,ac electronics,lg electronics,0.5426916137995641
142,ac electronics,tronics,0.5382024853921705
143,ac electronics,raltron electronics,0.5357168282981619
144,ac electronics,sure electronics,0.5340604197925612
145,ac electronics,fct electronics,0.531886828082605
146,ac electronics,zf electronics,0.531521919590437
147,ac electronics,intech electronics,0.5232692833691194
148,ac electronics,vector electronics,0.5206703839476867
149,ac electronics,mcs electronics,0.5180250080756986
150,ac electronics,aries electronics,0.5094605070253837
151,ac electronics,jae electronics,0.5065867122768379
152,ac electronics,cable electronics,0.503241308425201
153,ac electronics,ghi electronics,0.5017260717592252
154,ac electronics,fox electronics,0.5000802536953242
156,acer,apacer,0.7172234864244559
158,ackme networks / zentri,extreme networks,0.5178294806051003
161,acl staticide,"acl staticide, inc.",0.9082808486497815
163,"acl staticide, inc.",acl staticide,0.9082808486497815
165,acme,acme electric,0.6442472873886607
167,acme electric,acme,0.6442472873886607
171,actel,pactec,0.6949882034901711
172,actel,pctel,0.5939330930398485
175,active-semi,"active-semi, inc",0.8112182602438187
177,"active-semi, inc",active-semi,0.8112182602438187
182,adafruit,adafruit industries,0.7482518340168856
184,adafruit industries,adafruit,0.7482518340168856
186,adam equipment,"frontline test equipment, inc",0.5208929553872365
188,adam tech,adam technologies,0.7980410523511913
190,adam technologies,adam tech,0.7980410523511913
191,adam technologies,lm technologies,0.6631329600490605
192,adam technologies,mc technologies,0.5428939204577179
193,adam technologies,bi technologies,0.529488946912534
194,adam technologies,systium technologies,0.5293180824469181
195,adam technologies,kg technologies,0.5052569732597179
197,adaptaflex,artaflex,0.5827358234080947
198,adaptaflex,artaflex inc.,0.5004570087164881
201,adaptive interconnect electronics,"adaptive interconnect electronics, inc. (aie)",0.7996807242950912
203,"adaptive interconnect electronics, inc. (aie)",adaptive interconnect electronics,0.7996807242950912
212,adesto technologies,"adesto technologies corporation, inc",0.7413776159052523
